54,7,2,11,13,11,10,1,2,11,2,1,10,2,1,7,7,7,48,44,38
23,5,2,11,11,2,10,1,2,7,7,6,2,1,1,7,5,5,0,44,36
0,1,1,2,10,1,10,11,12,11,12,1,10,11,10,2,1,1,48,0,38
0,1,5,1,1,2,10,2,11,2,11,10,2,1,2,1,1,1,48,0,38
0,1,1,10,11,1,11,1,1,12,12,2,11,1,10,2,1,1,48,0,38
0,1,1,10,11,1,11,1,1,12,12,2,11,1,10,2,1,1,48,0,38
0,1,1,10,11,1,11,1,1,12,12,2,11,1,10,2,1,1,48,0,38
0,1,1,1,1,11,10,2,1,2,7,7,1,10,2,2,1,1,48,0,38
23,7,11,2,11,11,10,1,1,1,11,2,1,1,2,7,7,7,48,0,38
23,7,2,11,11,2,10,2,1,2,2,1,7,1,7,7,7,7,48,46,38
0,1,12,12,2,2,10,10,12,12,12,12,2,10,2,1,1,1,48,47,38
0,1,2,10,12,12,12,2,2,10,12,11,10,2,2,1,1,1,48,39,38
0,1,2,10,12,12,12,2,2,10,12,11,10,2,2,1,1,1,48,39,38
0,1,2,10,12,12,12,2,2,10,12,11,10,2,2,1,1,1,48,39,38
0,1,2,10,12,12,12,2,2,10,12,11,10,2,2,1,1,1,48,39,38
0,1,10,10,10,2,11,11,11,11,10,10,2,2,1,1,1,1,48,42,38
0,3,2,11,2,11,10,2,2,2,10,2,2,7,7,7,7,7,48,46,38
23,7,1,2,10,2,10,1,1,1,1,2,10,1,2,1,7,7,48,0,38
23,7,7,7,1,2,11,10,2,1,2,1,1,7,7,7,7,4,48,42,38
16,6,7,6,7,7,10,2,2,2,10,1,2,7,6,6,7,7,48,0,38
0,3,11,12,11,2,10,1,1,2,10,11,10,1,1,7,7,7,48,0,38
0,3,7,7,2,7,11,10,1,1,11,10,2,1,2,1,7,7,48,0,38
23,5,5,5,7,7,2,1,6,7,2,1,7,6,6,5,5,5,48,47,38
23,7,7,2,2,7,2,1,1,1,1,2,2,1,7,7,7,7,48,0,38
16,4,1,1,7,6,6,4,4,6,1,7,7,6,1,1,1,1,49,0,38
0,3,10,10,2,7,1,1,7,7,10,10,2,7,1,1,7,7,48,0,38
55,19,7,5,2,2,7,7,6,4,6,6,1,1,6,6,5,5,48,0,38
0,3,7,7,1,2,10,1,7,10,2,2,1,2,10,1,7,7,48,0,38
23,7,1,1,11,11,1,11,2,1,2,7,1,1,2,7,1,1,48,0,38
16,6,10,10,10,1,2,1,7,7,2,2,2,7,1,7,6,6,48,40,38
23,7,7,2,11,2,11,10,7,2,2,1,10,1,1,7,7,7,48,45,38
16,6,10,2,1,6,11,10,2,2,2,7,7,6,1,10,10,10,48,0,38
23,7,2,2,11,11,2,10,10,1,2,2,7,7,1,1,7,7,48,0,38
0,1,1,10,12,11,11,10,10,12,12,2,10,2,1,1,1,1,48,47,38
0,1,1,10,12,11,11,10,10,12,12,2,10,2,1,1,1,1,48,47,38
0,7,11,2,11,11,11,10,1,10,10,10,12,11,11,2,2,2,48,0,38
0,1,4,6,1,1,7,1,4,6,1,1,7,5,6,6,4,4,49,0,38
16,6,1,1,10,1,1,7,7,7,7,7,2,7,7,7,6,6,48,0,38
23,7,11,2,7,2,2,1,1,2,10,1,6,1,1,7,7,2,48,0,38
0,1,10,12,11,10,10,2,11,11,2,11,10,2,7,1,1,1,48,46,38
0,1,10,12,11,10,10,2,11,11,2,11,10,2,7,1,1,1,48,46,38
0,3,4,4,6,5,1,7,7,6,1,6,6,5,5,3,4,4,48,0,38
23,7,2,11,2,11,10,10,2,7,1,10,1,1,7,7,7,7,48,44,38
0,1,12,12,11,2,10,2,2,2,11,11,10,2,2,1,1,1,48,47,38
16,4,11,11,10,1,11,2,2,7,10,10,2,7,11,2,2,7,48,0,38
16,6,10,10,12,10,2,10,7,1,10,10,2,7,6,6,6,6,48,0,38
54,16,7,6,4,4,5,4,2,2,3,3,5,5,7,6,4,4,48,40,38
51,1,5,5,6,7,10,2,11,10,2,1,7,6,5,5,5,5,48,46,38
51,1,5,5,6,7,2,1,10,2,1,7,6,5,5,5,5,5,48,46,38
16,6,7,1,2,7,6,4,7,2,10,10,1,7,2,2,7,7,48,0,38
0,7,7,1,2,1,2,7,1,6,7,1,2,1,2,7,7,7,48,0,38
0,7,7,1,2,1,2,7,1,6,7,1,2,1,2,7,7,7,48,0,38
0,7,7,1,2,1,2,7,1,6,7,1,2,1,2,7,7,7,48,0,38
0,7,7,1,2,1,2,7,1,6,7,1,2,1,2,7,7,7,48,0,38
0,7,7,1,2,1,2,7,1,6,7,1,2,1,2,7,7,7,48,0,33
50,4,1,6,6,4,4,2,2,1,7,6,5,3,5,4,4,4,48,40,38
0,1,1,1,10,2,10,2,1,0,1,1,10,2,10,2,1,1,48,0,38
0,1,10,2,10,1,2,1,1,1,12,11,12,1,1,7,7,7,49,0,38
0,1,10,2,10,1,1,7,7,7,12,11,12,7,1,7,7,7,49,0,38
0,1,10,2,10,2,1,7,1,7,12,7,7,7,1,7,7,7,49,0,38
0,3,7,7,6,7,5,4,3,3,6,6,5,6,7,7,7,7,48,0,38
0,3,7,7,10,10,12,12,10,10,11,11,2,2,11,11,10,10,48,0,38
53,2,4,5,7,6,6,5,3,4,3,5,6,5,4,4,4,4,48,0,38
23,7,7,1,2,1,7,7,1,2,7,1,2,1,7,7,7,7,49,0,38
23,5,5,6,7,5,7,1,2,2,6,7,1,7,6,5,5,5,48,0,38
23,7,11,11,12,11,11,10,1,1,10,10,11,2,2,2,7,7,48,0,38
23,7,7,1,2,1,7,7,1,2,7,1,2,1,7,7,7,7,49,0,38
23,7,7,7,7,1,2,1,7,7,2,1,1,1,7,7,7,7,48,0,38
16,4,1,1,6,6,5,5,4,4,5,5,4,4,3,3,3,3,48,0,38
16,4,1,1,6,6,5,5,4,4,5,5,4,4,3,3,4,4,48,0,38
0,1,6,1,6,1,1,7,5,5,5,7,7,5,6,5,4,4,48,0,38
23,7,7,2,2,7,7,5,5,4,4,10,10,1,1,7,7,7,48,0,38
23,7,11,2,2,7,2,1,1,2,10,1,1,6,1,7,7,7,0,1,38
23,7,2,11,10,1,2,2,7,7,2,10,1,1,7,7,7,7,48,0,38
23,7,11,11,1,1,2,1,11,11,11,11,1,2,7,7,7,7,48,47,38
23,7,11,2,11,11,11,10,1,2,12,11,2,2,2,7,7,7,48,47,38
23,7,7,1,2,2,11,10,1,1,6,7,1,1,10,2,7,7,48,0,38
0,3,10,10,10,7,12,12,12,10,14,14,14,12,11,12,10,10,48,0,38
0,3,7,5,7,5,6,6,6,6,1,7,6,4,3,3,3,3,48,0,38
0,3,5,5,3,3,5,5,4,3,4,4,2,2,4,4,3,2,48,0,38
0,1,1,10,12,12,12,10,2,1,1,2,11,11,11,10,1,1,48,0,38
16,6,6,6,1,1,10,10,1,1,2,2,7,7,1,6,6,6,48,0,31
23,7,11,2,11,2,11,10,1,2,10,1,10,1,10,2,7,2,48,0,38
0,3,10,2,10,1,7,5,7,5,4,5,6,4,7,7,7,7,48,0,38
16,4,7,7,2,1,11,10,11,2,11,11,10,2,7,7,7,7,48,47,38
23,7,7,6,7,2,11,2,10,7,2,10,7,6,1,7,7,7,49,0,38
0,3,12,12,13,12,12,13,14,12,11,12,13,11,12,10,10,10,48,0,38
23,7,7,7,10,10,11,11,2,7,10,10,1,1,2,2,7,7,48,45,38
55,19,2,7,5,2,1,6,4,6,1,6,4,1,7,5,5,5,48,40,38
23,7,7,7,7,1,10,2,2,1,10,2,2,1,1,7,7,7,48,41,38
0,1,10,1,1,11,11,2,11,10,2,1,1,2,10,1,1,1,48,0,38
23,7,10,2,10,12,11,2,1,7,1,1,10,2,11,2,2,2,48,0,38
23,7,11,11,10,2,11,10,1,1,11,11,10,1,7,7,7,7,48,41,38
0,1,2,12,11,2,10,1,1,1,2,0,0,0,1,1,1,1,48,43,38
0,3,7,3,5,6,5,4,5,4,2,4,4,5,5,4,3,3,48,0,38
23,7,2,1,1,5,1,7,7,7,10,2,2,6,1,4,4,4,48,40,38
0,1,1,1,7,5,1,5,6,5,4,4,7,6,5,6,5,5,48,0,38
23,7,7,4,10,10,2,1,7,5,5,4,4,6,1,1,7,7,49,0,38
54,7,11,11,2,10,11,2,1,7,2,10,2,7,2,10,2,7,48,0,38
0,3,11,11,11,2,10,10,10,10,1,11,11,11,2,7,7,7,0,0,38
51,23,10,10,10,10,1,2,2,10,1,1,7,7,5,6,6,6,49,0,38
23,7,11,2,7,11,10,1,6,1,10,1,6,11,2,7,7,7,48,43,38
50,4,1,1,2,2,1,1,4,6,7,7,3,5,6,6,4,4,49,0,38
16,6,6,1,10,10,12,10,10,1,10,2,2,7,2,1,1,1,48,44,38
16,4,1,1,6,1,7,6,5,7,7,7,5,6,4,4,4,4,48,43,38
16,6,6,1,2,11,11,10,1,10,10,10,2,7,6,6,6,6,48,44,38
23,7,11,2,11,11,10,2,7,2,11,1,10,10,2,1,7,7,48,47,38
23,7,1,1,11,11,11,10,1,2,11,11,2,10,1,7,7,7,48,44,38
23,7,11,2,11,11,10,1,10,10,2,7,2,2,1,6,7,7,48,39,38
23,7,11,2,2,7,10,1,1,1,10,1,1,6,1,7,7,7,48,43,38
23,7,11,2,2,7,10,1,1,6,1,1,7,1,2,7,7,7,48,43,38
23,7,11,2,2,7,10,1,1,1,10,1,1,6,1,7,7,7,48,43,38
23,7,11,2,2,7,10,1,1,6,1,1,7,1,2,7,7,7,48,43,38
23,7,11,2,2,7,10,1,1,1,10,1,1,6,1,7,7,7,48,43,38
23,7,11,2,2,7,10,1,1,6,1,1,7,1,2,7,7,7,48,43,38
23,7,11,2,2,7,10,1,1,1,10,1,1,6,1,7,7,7,48,43,38
23,7,11,2,2,7,10,1,1,6,1,1,7,1,2,7,7,7,48,43,38
23,7,11,2,2,7,10,1,1,1,10,1,1,6,1,7,7,7,48,43,38
23,7,11,2,2,7,10,1,1,6,1,1,7,1,2,7,7,7,48,43,38
0,3,3,3,6,4,5,5,3,3,4,4,2,6,4,4,3,3,48,0,38
54,7,7,1,10,10,10,1,10,2,2,7,2,2,1,7,7,7,48,45,38
54,7,7,1,10,10,10,1,10,2,2,7,2,2,1,7,7,7,48,45,38
0,1,10,1,10,10,11,1,1,1,10,1,10,10,11,1,1,1,48,0,38
0,1,10,1,10,10,11,1,1,1,10,1,10,10,11,1,1,1,48,0,38
0,1,10,1,10,10,11,1,1,1,10,1,10,10,11,1,1,1,48,0,38
0,1,10,1,10,10,11,1,1,1,10,1,10,10,11,1,1,1,48,0,38
16,6,1,1,11,10,11,7,2,1,2,2,1,2,7,6,6,6,48,46,38
23,7,2,1,7,1,7,7,2,1,2,1,2,1,7,7,7,7,48,41,38
0,1,1,1,10,2,2,2,1,7,10,2,1,7,7,6,5,5,48,0,38
0,1,1,1,10,2,2,2,1,7,10,2,1,7,7,6,5,5,48,0,38
23,7,2,7,7,6,1,1,1,2,1,7,6,1,7,7,7,7,48,0,38
23,7,2,7,7,6,1,1,1,7,6,5,4,4,7,7,7,7,48,0,38
0,3,5,6,7,1,7,6,5,4,7,6,5,4,6,5,5,5,48,0,38
23,7,7,2,10,2,1,1,1,1,11,10,2,1,7,7,7,7,48,44,38
23,7,7,6,7,1,10,2,1,2,1,7,7,1,1,7,7,7,49,0,38
0,3,5,7,5,3,3,2,4,4,4,6,4,2,3,5,5,5,48,0,38
0,1,1,1,10,10,11,2,1,10,12,12,11,11,10,2,1,1,48,0,38
23,7,11,2,10,1,2,7,1,2,10,1,1,6,1,7,7,7,48,0,38
23,7,4,7,7,7,6,1,1,1,1,1,11,6,1,7,7,7,48,0,38
23,7,2,1,7,7,10,2,1,1,2,1,7,7,1,1,7,7,48,0,38
0,3,10,10,2,1,1,7,11,11,11,12,13,2,11,10,10,10,48,0,38
0,3,12,12,10,12,12,12,11,10,11,11,2,11,11,11,10,2,48,0,38
0,1,1,2,1,2,11,2,11,10,2,1,1,2,10,1,1,1,48,0,38
23,5,5,5,7,7,2,1,1,1,2,7,6,6,6,5,5,5,48,0,38
0,1,1,6,6,4,7,5,5,3,4,4,2,2,5,5,5,5,48,0,38
16,6,2,7,10,10,10,1,11,11,11,10,2,1,1,7,7,7,48,0,38
23,7,7,1,2,1,7,7,1,2,7,1,2,1,7,7,7,7,49,0,38
23,7,7,2,11,7,2,1,7,7,7,2,11,7,2,1,7,7,49,0,38
23,7,2,1,10,2,2,1,10,2,2,1,10,2,2,1,10,2,49,0,38
0,7,7,1,2,1,7,7,1,2,7,1,2,1,7,7,7,7,49,0,38
16,7,7,1,2,1,7,7,1,2,7,1,2,1,7,7,7,7,49,0,38
0,3,2,7,2,11,11,2,11,10,2,7,1,10,1,7,7,7,0,0,38
54,16,11,12,11,2,2,7,7,6,10,11,10,1,10,2,2,10,48,0,38
0,3,7,2,2,7,2,1,7,7,1,10,2,1,1,7,7,7,48,0,38
23,7,12,12,11,2,11,11,10,1,10,10,1,6,7,7,7,7,48,41,38
0,3,7,5,6,1,7,6,5,4,7,5,6,1,7,6,5,4,48,0,38
0,6,6,6,4,4,7,7,7,7,5,3,3,3,6,6,6,6,48,0,38
0,3,3,2,4,6,1,7,5,5,7,7,7,6,4,3,3,3,49,0,38
0,1,1,1,7,7,6,6,3,3,5,5,4,4,3,3,1,1,48,0,38
23,7,11,11,1,1,2,2,11,11,11,11,10,10,2,2,2,2,48,44,38
23,7,11,11,1,1,2,2,11,11,11,11,10,10,2,2,2,2,48,44,38
0,3,10,10,10,10,2,1,7,7,11,11,11,11,0,11,10,7,49,0,38
23,7,7,7,2,2,11,11,2,10,11,11,1,2,1,7,7,7,48,0,38
23,7,7,2,1,2,10,2,2,7,2,1,1,6,1,7,7,6,48,42,38
54,7,7,7,2,7,11,10,11,2,7,7,7,7,2,7,7,7,48,0,38
0,1,1,1,10,12,12,11,2,12,11,11,2,2,1,1,1,1,48,0,38
16,6,1,10,10,2,10,1,7,1,10,2,1,7,1,6,6,6,48,0,38
16,6,7,7,7,1,10,1,1,7,6,6,6,7,2,1,7,7,48,0,38
16,6,7,7,7,1,10,1,1,7,6,6,6,7,2,1,7,7,48,0,38
16,6,7,7,7,1,10,1,1,7,6,6,6,7,2,1,7,7,48,0,38
23,5,2,2,2,1,6,7,6,6,1,1,1,7,5,6,5,5,48,0,38
54,16,11,11,13,11,10,10,10,1,11,10,1,1,11,2,2,2,48,44,38
23,7,11,11,10,1,2,1,1,1,10,10,2,1,2,7,7,7,48,0,38
23,7,7,7,11,11,11,10,2,1,11,10,2,1,1,1,7,7,48,44,38
0,3,10,12,10,12,11,2,2,7,1,10,2,10,11,2,2,2,48,0,38
0,3,7,7,10,1,1,7,5,5,1,1,7,6,6,5,5,5,48,0,38
0,3,7,7,10,1,1,7,5,5,1,1,7,6,6,5,5,5,48,0,36
16,4,1,1,7,7,6,6,1,4,4,4,22,22,4,4,4,4,49,0,38
16,4,2,1,1,7,11,10,10,11,2,1,1,7,10,1,1,1,48,0,38
23,7,11,2,2,10,12,1,1,1,12,11,10,1,7,2,2,2,48,0,38
16,4,1,7,5,5,1,7,5,5,4,4,5,5,6,7,5,4,48,0,38
23,7,2,11,11,11,1,10,10,10,7,2,2,2,6,1,1,1,49,0,38
16,6,1,1,7,1,2,1,7,7,5,5,4,5,1,1,6,6,49,0,38
16,4,1,7,2,1,1,4,4,5,6,4,1,7,7,6,1,1,49,0,38
23,7,11,2,10,1,2,7,7,7,10,1,10,1,2,7,7,7,48,47,38
23,7,7,7,7,1,2,1,2,7,2,7,1,2,1,7,7,7,48,41,38
0,1,10,2,12,11,10,2,2,1,10,2,12,11,10,2,1,7,48,42,38
0,1,10,12,11,2,10,2,1,1,2,11,10,2,10,1,1,1,48,46,38
23,7,11,11,12,11,10,2,7,7,2,2,2,1,1,1,1,1,48,0,38
23,7,7,1,2,2,1,1,7,7,2,2,1,1,7,7,7,7,49,0,38
23,7,2,1,10,2,2,1,1,1,1,1,2,1,1,7,7,7,49,0,38
54,7,7,2,11,2,11,1,2,7,6,7,2,1,2,7,7,7,49,0,38
54,7,7,2,11,2,11,1,2,7,6,7,2,1,2,7,7,7,49,0,38
16,6,1,6,6,6,7,5,5,5,7,7,1,2,1,6,6,6,48,0,38
54,7,1,1,10,1,1,7,7,7,7,7,2,7,7,6,1,1,48,0,38
0,3,7,1,2,1,1,7,10,1,10,1,7,7,10,1,7,7,49,0,38
0,1,12,10,10,12,11,10,2,1,12,10,10,11,2,1,1,1,48,0,38
0,1,11,10,11,1,1,1,1,1,10,2,10,1,1,1,1,1,49,0,38
0,3,6,1,7,1,6,6,4,5,7,7,5,5,4,4,4,4,48,0,38
0,3,6,1,7,1,6,6,4,5,7,7,5,5,4,4,4,4,48,0,38
0,3,6,1,7,1,6,6,4,5,7,7,5,5,4,4,4,4,48,0,38
0,3,6,1,7,1,6,6,4,5,7,7,5,5,4,4,4,4,48,0,38
54,16,11,11,13,11,11,2,2,2,10,10,12,10,10,2,2,2,48,0,38
23,7,11,2,11,11,11,10,1,10,12,11,10,2,1,7,7,7,48,44,38
16,4,11,11,11,10,10,2,2,7,2,2,2,1,1,1,1,6,48,0,38
54,7,7,10,10,1,10,1,2,1,7,10,10,1,2,7,7,7,48,0,38
0,3,12,12,12,10,13,13,13,11,13,13,13,11,13,13,12,10,48,0,38
0,3,7,7,1,7,2,7,10,10,10,10,12,11,2,7,10,10,49,0,38
23,7,2,2,1,1,1,7,2,1,2,2,1,1,1,7,7,7,48,0,38
16,6,6,11,2,2,10,10,11,10,6,11,2,2,1,7,6,6,48,0,38
23,7,7,7,11,11,11,11,2,1,11,11,10,1,1,7,7,7,48,44,34
23,7,7,7,11,11,11,11,2,1,11,11,10,1,1,7,7,7,48,44,36
23,7,2,2,10,2,1,1,1,1,1,1,2,1,7,7,7,7,48,0,38
23,7,2,10,11,12,11,11,11,2,11,11,10,10,2,2,2,2,48,43,38
23,7,2,10,11,12,11,11,11,2,11,11,10,10,2,2,2,2,48,43,38
0,1,5,5,1,7,6,6,6,6,5,5,1,7,6,6,5,5,49,0,38
0,3,7,4,6,4,5,4,4,5,6,4,5,4,5,4,4,4,0,0,38
23,7,11,2,2,11,10,1,1,6,10,1,1,10,2,7,7,7,48,0,38
16,6,1,1,10,1,1,1,10,1,1,7,2,7,7,6,6,6,48,0,38
23,5,1,5,7,6,5,7,6,5,5,1,5,6,5,6,5,5,49,0,38
16,4,5,1,7,6,1,6,5,5,5,1,6,5,5,4,4,4,48,44,38
0,3,10,2,2,1,10,2,1,7,10,2,2,1,1,7,7,7,48,0,38
16,6,1,1,10,2,1,7,7,7,7,7,2,1,7,6,6,6,48,47,38
23,7,11,11,1,1,2,1,11,11,10,10,1,6,7,2,1,1,48,44,38
23,7,11,11,1,1,2,1,11,11,10,10,1,6,7,2,1,1,48,44,38
50,4,1,7,6,4,2,7,7,5,1,7,6,5,5,4,4,4,48,43,38
0,1,5,6,5,4,1,7,1,5,5,6,5,4,7,5,5,5,48,0,38
16,6,11,11,10,10,2,2,1,1,7,7,10,10,2,2,1,6,48,47,38
0,1,1,11,11,2,11,10,1,1,7,10,10,7,10,2,1,1,49,0,38
16,6,3,6,5,7,6,1,10,10,1,7,2,5,7,6,6,6,48,0,38
16,6,10,10,13,11,10,1,10,6,1,7,2,5,7,6,6,6,48,0,38
0,3,10,12,11,10,2,1,7,7,2,11,7,2,11,10,10,10,48,0,38
0,1,1,10,12,11,12,2,10,11,12,11,2,2,10,1,1,1,48,0,38
0,1,1,1,10,12,12,11,1,2,12,12,11,2,11,10,1,1,48,47,38
0,3,7,7,5,5,4,4,4,5,6,6,4,4,3,3,3,5,48,0,38
0,1,5,7,2,1,7,6,5,1,1,7,7,6,5,5,5,5,48,0,38
23,7,2,2,10,2,1,7,6,7,1,1,2,1,7,7,7,7,48,44,38
23,7,11,2,1,10,2,7,7,7,1,6,5,7,6,5,4,4,48,39,38
23,7,11,2,1,10,2,7,7,7,1,6,5,7,6,5,4,4,48,39,36
23,7,11,2,1,10,2,7,7,7,1,6,5,7,6,5,4,4,48,39,38
54,7,2,2,11,11,10,10,2,1,11,11,2,1,2,7,7,7,48,46,38
54,7,2,2,11,11,10,10,2,1,11,11,2,1,2,7,7,7,48,46,38
54,7,2,2,11,11,10,10,2,1,11,11,2,1,2,7,7,7,48,46,38
54,7,2,2,11,11,10,10,2,1,11,11,2,1,2,7,7,7,48,46,38
23,7,11,2,2,7,7,6,6,1,10,1,1,6,7,7,7,7,48,43,38
23,7,11,2,2,7,7,6,6,1,10,1,1,6,7,7,7,7,48,43,38
16,6,10,10,10,10,2,1,6,6,2,2,2,7,1,1,7,7,48,0,38
0,1,1,1,10,12,12,2,2,2,10,12,11,2,10,1,0,1,48,0,38
0,3,5,6,7,5,7,6,5,4,4,5,6,4,3,3,3,3,49,0,38
16,6,2,7,1,2,10,1,6,1,10,10,2,2,1,7,7,7,48,0,38
0,1,11,11,11,11,11,11,11,11,1,1,1,1,1,1,1,1,48,0,38
0,1,1,12,11,2,11,2,2,2,2,11,10,2,10,1,1,1,48,0,38
50,4,6,6,6,5,7,7,6,4,6,5,7,5,5,4,4,4,48,0,38
23,7,7,5,5,3,5,4,4,2,3,3,1,1,4,4,4,4,48,40,38
0,3,10,12,12,11,11,12,12,10,10,12,12,11,13,12,10,10,48,47,38
23,7,2,2,11,11,10,2,2,1,2,2,1,7,7,7,7,7,48,0,38
23,7,1,2,10,2,10,2,2,12,12,11,11,10,10,2,1,1,48,0,38
55,19,2,7,7,5,5,4,4,6,1,6,6,4,5,5,5,7,48,0,38
55,19,2,7,7,5,5,4,4,6,1,6,6,4,5,5,5,7,48,0,38
55,19,2,7,7,5,5,4,4,6,1,6,6,4,5,5,5,7,48,0,38
16,6,6,7,1,6,2,1,7,3,7,1,2,1,7,5,6,6,48,0,38
23,5,7,7,2,7,1,6,6,5,7,5,5,6,5,5,5,5,48,44,38
23,7,2,7,2,1,7,7,10,10,2,7,1,1,7,7,7,7,48,0,38
23,7,4,4,5,4,7,4,7,6,1,7,2,1,7,7,7,7,48,0,38
0,1,12,12,10,12,11,10,2,2,11,10,2,11,10,2,1,1,48,0,38
23,5,2,6,1,6,2,1,2,5,2,1,2,6,2,1,6,5,49,0,38
23,7,11,2,2,7,10,1,1,7,1,1,10,2,11,2,2,7,48,47,38
0,3,7,7,1,7,2,7,10,10,11,10,13,10,11,2,10,10,48,41,38
54,16,6,4,6,5,4,3,3,4,5,4,5,3,2,2,2,4,48,0,38
23,5,2,2,10,2,1,2,7,7,1,1,2,1,7,7,5,5,48,0,38
50,2,2,4,5,4,5,5,4,3,5,5,3,3,2,2,2,2,48,43,38
51,23,1,10,10,2,10,7,1,6,1,2,2,7,1,6,6,6,0,0,38
0,1,1,12,12,2,11,2,2,1,2,12,12,2,11,2,2,2,48,0,38
23,7,7,6,7,2,11,2,10,1,2,10,7,6,1,7,7,7,49,0,38
50,4,7,6,5,6,7,6,4,4,5,5,3,5,6,5,3,4,48,0,38
50,4,5,7,5,6,7,6,4,4,5,5,4,5,6,5,3,4,48,0,38
23,7,7,2,2,2,11,2,1,7,2,2,2,1,1,7,7,7,48,0,38
55,19,7,7,5,5,4,4,3,3,6,6,6,5,7,7,5,5,49,0,38
0,1,1,10,2,10,11,2,1,7,1,10,2,10,1,1,1,1,0,1,38
23,7,2,2,1,7,7,6,6,1,10,10,2,1,1,7,7,1,48,0,38
0,3,5,3,5,7,7,5,7,6,5,3,4,6,4,3,3,3,0,0,38
0,1,11,11,1,1,1,2,11,11,10,2,1,2,2,7,7,7,48,47,38
16,6,10,10,11,2,2,7,7,1,2,2,10,1,1,6,6,6,48,43,38
16,6,11,11,11,11,10,10,10,10,2,1,7,10,1,7,6,6,48,39,38
23,7,2,7,7,4,7,2,2,10,1,6,6,4,6,1,1,11,48,0,38
23,7,2,7,7,4,7,2,2,10,1,6,6,4,6,1,1,11,48,0,38
23,7,7,7,2,11,11,10,10,2,11,2,1,2,7,7,7,7,48,43,38
23,7,1,1,11,10,12,12,10,1,1,7,2,1,1,1,7,7,48,39,38
50,4,1,6,1,2,7,5,3,5,7,5,7,1,6,5,4,4,48,39,38
23,7,2,1,7,7,1,1,2,1,2,1,7,7,7,7,7,7,48,41,38
0,1,1,1,1,1,1,11,10,2,1,1,1,1,1,10,1,1,49,0,38
0,1,1,10,1,11,2,1,1,1,1,10,11,10,2,1,1,1,48,45,38
51,1,10,12,12,10,12,11,10,1,2,11,2,1,10,1,1,1,48,0,38
23,5,2,2,2,1,7,7,7,6,5,5,7,6,5,5,5,5,48,0,38
54,16,7,6,6,5,4,3,3,4,6,5,5,3,4,2,2,2,49,0,38
23,7,2,11,2,7,11,10,1,6,1,10,1,1,2,7,7,7,48,39,38
23,7,2,11,2,7,11,10,1,6,1,10,1,1,2,7,7,7,48,39,38
23,7,2,11,2,7,11,10,1,6,1,10,1,1,2,7,7,7,48,39,36
16,6,1,1,10,1,1,7,7,3,7,7,2,7,7,6,6,6,48,46,38
0,3,1,1,10,2,1,7,7,5,6,6,1,6,5,5,5,3,48,47,38
54,7,6,6,11,10,2,1,10,2,7,7,10,2,2,1,7,7,48,0,38
54,7,7,7,12,11,10,2,11,10,7,7,10,2,2,1,7,7,48,0,38
0,1,12,12,11,10,12,10,2,1,1,10,11,11,12,10,2,2,48,0,38
16,6,1,10,1,6,6,4,4,3,7,2,7,5,7,6,6,6,48,0,38
16,6,1,10,1,6,6,4,4,3,7,2,7,5,7,6,6,6,48,0,36
23,5,2,2,10,2,2,7,1,7,2,7,7,6,6,5,5,5,48,44,38
0,3,7,5,7,1,7,6,4,6,1,6,6,5,5,6,7,7,48,0,38
16,6,10,1,10,11,10,2,7,2,11,2,2,1,1,2,10,10,48,0,38
54,7,1,11,11,10,11,1,2,7,1,11,11,11,11,1,1,1,48,0,38
53,2,6,4,6,4,3,3,3,4,5,3,5,4,2,2,2,4,48,44,38
23,7,11,2,2,2,10,1,1,1,10,1,1,1,11,2,2,2,48,0,38
16,6,1,1,10,1,10,1,1,1,2,7,7,6,1,6,6,6,48,40,38
16,6,1,1,10,1,10,1,1,1,2,7,7,6,1,6,6,6,48,40,38
16,4,6,1,1,7,1,6,5,4,6,7,6,5,6,5,4,4,48,43,38
16,4,1,1,11,10,1,11,10,1,1,1,11,10,2,1,1,1,48,0,38
50,4,1,10,11,11,10,2,1,11,2,10,11,11,10,2,1,1,48,0,38
16,4,1,1,11,10,1,11,10,1,1,1,11,10,2,1,1,1,48,0,38
50,4,1,10,11,11,10,2,1,11,2,10,11,11,10,2,1,1,48,0,38
23,7,7,1,1,10,10,2,2,1,10,2,2,1,1,7,7,7,48,0,38
0,3,10,10,10,10,2,11,7,7,13,13,13,13,12,10,10,10,48,0,38
54,16,6,6,1,1,7,5,6,6,1,1,7,5,5,4,4,4,48,46,38
54,16,6,6,1,1,7,5,6,6,1,1,7,5,5,4,4,4,48,46,38
54,16,6,6,1,1,7,5,6,6,1,1,7,5,5,4,4,4,48,46,38
16,6,6,6,1,10,10,2,2,1,1,7,10,5,7,6,6,6,48,0,38
0,3,11,2,11,2,10,10,1,6,10,1,7,7,5,7,5,5,48,0,38
0,1,1,2,10,10,11,1,10,11,11,11,10,2,11,1,1,1,0,0,38
0,1,1,1,10,12,12,2,2,2,10,12,11,2,10,1,0,1,48,0,38
0,1,1,2,10,10,11,1,2,11,11,11,10,2,11,1,1,1,48,0,38
16,6,6,6,1,6,6,1,7,5,5,5,7,5,5,7,6,6,48,0,38
0,1,1,1,10,2,10,2,1,1,1,1,10,2,1,1,1,1,48,0,38
23,7,11,11,10,1,10,10,2,7,2,11,10,1,1,7,7,7,48,0,38
16,4,6,6,11,11,6,6,2,2,4,4,7,7,3,3,4,4,48,0,38
23,5,2,12,11,2,11,1,1,1,1,11,10,1,7,2,2,2,49,0,38
